Wavelength (nm),g
967.7999878,0.004162511
968,0.004138202
968.2000122,0.004335478
968.4000244,0.004284845
968.5999756,0.004543702
968.7999878,0.004634399
969,0.004594305
969.2000122,0.004782133
969.4000244,0.004885682
969.5999756,0.00479014
969.7999878,0.005014278
970,0.00509084
970.2000122,0.005119913
970.4000244,0.005115846
970.5999756,0.005159181
970.7999878,0.00554162
971,0.00543181
971.2000122,0.00561346
971.4000244,0.005568202
971.5999756,0.005743476
971.7999878,0.005852378
972,0.00583559
972.2000122,0.005872397
972.4000244,0.006045818
972.5999756,0.006071058
972.7999878,0.006120344
973,0.006245453
973.2000122,0.006355671
973.4000244,0.006138962
973.5999756,0.006284074
973.7999878,0.006265562
974,0.006367475
974.2000122,0.006611132
974.4000244,0.006537111
974.5999756,0.006607192
974.7999878,0.006582375
975,0.006633021
975.2000122,0.006627906
975.4000244,0.006823883
975.5999756,0.006722677
975.7999878,0.006832148
976,0.006683571
976.2000122,0.006738731
976.4000244,0.006789826
